onset	duration	block	counterbalance	ChosenProbeColor	CorrectProbeColor	CurrentTask	LastITI	ProbeLoc	ProbeMatch	ProbeType	SeqStartTime	SetSize	ThisITI	centralJitter	chooseSequence	correctResp	error	msecProbeRT	probeACC	probeStart	probert	response	runStart	scannerStart	stimFlip	stimStart	subject	trialStart
441.0	7.5	1	2	1	126	2	6.5	1	99	2	435.0	3	3.0	0	16	126	3.0	None	3	2337339.0	9999.0	129.0	2336902.0	2336896.0	2337337.0	2337337.0	208	2337334.0
450.0	7.5	1	2	4	164	2	6.5	4	99	2	444.0	4	1.5	0	16	164	-9.0	None	9	2337348.0	9999.0	155.0	2336902.0	2336896.0	2337346.0	2337346.0	208	2337345.0
458.5	7.5	1	2	1	109	2	6.5	4	99	2	452.5	1	1.0	0	16	109	-1.0	None	1	2337356.0	9999.0	108.0	2336902.0	2336896.0	2337355.0	2337355.0	208	2337354.0
467.0	7.5	1	2	6	39	2	6.5	8	99	2	461.0	7	1.0	0	16	39	124.0	None	124	2337365.0	9999.0	163.0	2336902.0	2336896.0	2337363.0	2337363.0	208	2337362.0
477.0	7.5	1	2	7	170	2	6.5	9	99	2	471.0	7	2.5	0	16	170	-49.0	None	49	2337375.0	9999.0	121.0	2336902.0	2336896.0	2337373.0	2337373.0	208	2337371.0
486.0	7.5	1	2	2	35	2	6.5	3	99	2	480.0	5	1.5	0	16	35	-10.0	None	10	2337384.0	9999.0	25.0	2336902.0	2336896.0	2337382.0	2337382.0	208	2337381.0
494.5	7.5	1	2	3	62	2	6.5	3	99	2	488.5	3	1.0	0	16	62	-8.0	None	8	2337392.0	9999.0	54.0	2336902.0	2336896.0	2337391.0	2337391.0	208	2337390.0
504.0	7.5	1	2	1	13	2	6.5	7	99	2	498.0	1	2.0	0	16	13	0.0	None	0	2337402.0	9999.0	13.0	2336902.0	2336896.0	2337400.0	2337400.0	208	2337398.0
513.0	7.5	1	2	1	103	2	6.5	6	99	2	507.0	1	1.5	0	16	103	-5.0	None	5	2337411.0	9999.0	98.0	2336902.0	2336896.0	2337409.0	2337409.0	208	2337408.0
526.5	7.5	1	2	3	44	2	6.5	6	99	2	520.5	5	6.0	0	16	44	14.0	None	14	2337424.0	9999.0	58.0	2336902.0	2336896.0	2337423.0	2337423.0	208	2337417.0
536.5	7.5	1	2	4	119	2	6.5	6	99	2	530.5	7	2.5	0	16	119	20.0	None	20	2337434.0	9999.0	139.0	2336902.0	2336896.0	2337433.0	2337433.0	208	2337430.0
545.0	7.5	1	2	3	159	2	6.5	7	99	2	539.0	3	1.0	0	16	159	-2.0	None	2	2337443.0	9999.0	157.0	2336902.0	2336896.0	2337441.0	2337441.0	208	2337440.0
553.5	7.5	1	2	2	68	2	6.5	3	99	2	547.5	5	1.0	0	16	68	32.0	None	32	2337451.0	9999.0	100.0	2336902.0	2336896.0	2337450.0	2337450.0	208	2337449.0
562.0	7.5	1	2	3	97	2	6.5	5	99	2	556.0	5	1.0	0	16	97	-11.0	None	11	2337460.0	9999.0	86.0	2336902.0	2336896.0	2337458.0	2337458.0	208	2337457.0
